Index,Location,Year
1,"Salford Royal Hospitals NHS Trust, Salford, UK.",2008
2,Center for Devices and Radiological Health Food and Drug Administration.,2008
3,"Center for Devices and Radiological Health, Food and Drug Administration, Rockville, MD 20857.",1993
4,"Department of Otolaryngology, Head and Neck Surgery, University Hospital, Queens Medical Centre, Nottingham NG7 2UH, UK.",2008
5,"TriMedx, USA.",2008
6,"Departments of Medicine and Microbiology, Sunnybrook and Women's College Health Sciences Centre, Toronto, Ontario.",2007
7,"Wharton School, University of Pennsylvania, Department of Marketing, Wynnewood, Pennsylvania 19096, USA.",2007
8,"Department of Electronics, Tallinn University of Technology, Tallinn, Estonia.",2007
9,"Department of Electronic Engineering, Chinese University of Hong Kong, China.",2007
10,"Wolfson School of Mechanical & Manufacturing Engineering, Loughborough University, Leics, UK.",2007
11,"Department of Biomedical Engineering, Marquette University, Milwaukee, WI, USA.",2007
12,"Department of Technology and Health, Italian Institute of Health, Rome, Italy.",2007
13,"Laboratory of Biomedical Engineering, Istituto Superiore di Sanita, Rome, Italy.",1997
14,"HIPAA Task Force, American College of Clinical Engineering (ACCE), Saratoga Springs, NY, USA.",2007
15,"Baretich Engineering, Inc., Fort Collins, Colorado, USA.",2007
16,"Baretich Engineering, Inc., Fort Collins, Colorado, USA.",2002
17,"Department of Decision and Information Technologies, Villanova University, Villanova, PA, USA.",2007
18,"Clinical Engineering Department, IRCCS Casa Sollievo della Sofferenza, S. Giovanni Rotondo (FG), Italy.",2007
19,"Enterprise Applications, ALARIS Medical Systems, Inc. San Diego, California, USA.",2007
20,"Biomed. Eng. Lab., Nat. Tech. Univ. of Athens, Greece.",2007
21,"Division of Infectious Diseases, Department of Medicine, University Hospitals of Geneva, CH-1211 Geneva 14, Switzerland.",2006
22,"Investigation and Prevention Branch, Hospital Infections Program, Centers for Disease Control and Prevention, Atlanta, Georgia 30333, USA.",2006
23,"Department of Material Science, Fudan University, Shanghai, China.",2006
24,Nitinol Devices and Components Fremont CA USA.,2006
25,"Center for Health Outcomes Research, MEDTAP International, Bethesda, MD 20814, USA.",2006
26,"MEDTAP International, Bethesda, Maryland, USA.",2001
27,"Department of Infectious Diseases, Catholic University, Rome, Italy.",2006
28,"Department of Technologies and Health, Istituto Superiore di Sanità, Rome, Italy.",2006
29,"Section of Gastroenterology and Hepatology, Wake Forest University, School of Medicine, Winston-Salem, NC, USA.",2006
30,"Section of Gastroenterology and Hepatology, Wake Forest University Health Sciences Center, Wake Forest University, Medical Center Boulevard, Winston-Salem, NC 27157, USA.",2003
31,"Department of Urology, Secion of Andrology and Male Infertility, Tulane University, School of Medicine, New Orleans, LA 70112, USA.",2006
32,"Stinnett, Thiebaud & Remington, LLP, Dallas, Texas 75202, USA.",2005
33,"Cardiovascular Bioengineering, Technology and Health Department, Istituto Superiore di Sanità, Viale Regina Elena 299, 00161, Rome, Italy.",2005
34,"Laboratory of Biomedical Engineering, ISS, Rome, Italy.",2004
35,"Laboratory of Biomedical Engineering, Istituto Superiore di Sanità, Rome, Italy.",2004
36,"Laboratory of Biomedical Engineering, Istituto Superiore di Sanità, Rome, Italy.",2004
37,"Epidemiology Branch, Division of Postmarket Surveillance, Office of Surveillance and Biometrics, Center for Devices and Radiological Health, Food and Drug Administration, Rockville, MD 20850, USA.",2004
38,"Division of Postmarket Surveillance, Office of Surveillance and Biometrics, Center for Devices and Radiologic Health, Food and Drug Administration, 1350 Piccard Dr., HFZ-541 Rockville MD 20850, USA.",2004
39,"Office of Surveillance and Biometrics, Center for Devices and Radiological Health, Food and Drug Administration, Rockville, MD 20850, USA.",2002
40,"Office of Surveillance and Biometrics, Center for Devices and Radiological Health, Food and Drug Administration, Rockville, MD 20850, USA.",2001
41,"Office of Surveillance and Biometrics, Center for Devices and Radiological Health, Food and Drug Administration, Rockville, MD 20850, USA.",1998
42,"Epidemiology Branch, Center for Devices and Radiological Health, Rockville, Maryland, USA.",1997
43,"Epidemiology Branch, Division of Postmarket Surveillance, Office of Surveillance and Biometrics, Center for Devices and Radiological Health, Food and Drug Administration, 1350 Piccard Drive, HFZ-541, Rockville, MD 20850, USA.",2003
44,"Synovate Business Consulting, Causeway Bay, Hong Kong.",2005
45,"Research and Development, Ultra Low-Power Communications Division, Roborough, Plymouth, UK.",2005
46,"Donawa & Associates Ltd., Rome, Italy.",2005
47,"Donawa & Associates Ltd, Rome, Italy.",2005
48,"Donawa & Associates Ltd., Rome, Italy.",2005
49,"Donawa & Associates Ltd, Rome, Italy.",2005
50,"Donawa and Associates Ltd, Rome, Italy.",2004
51,"Donawa & Associates Ltd, Rome, Italy.",2004
52,"Donawa and Associates Ltd, an Aventor Partner, Via Fonte di Fauno 22, I-00153 Rome, Italy.",2003
53,"Donawa and Associates Ltd, an Aventor Partner, Via Fonte di Fauno 22, I-00153 Rome, Italy.",2003
54,"Donawa and Associates Ltd, an Aventor Partner, Via Fonte di Fauno 22, I-00153 Rome, Italy.",2002
55,"Donawa and Associates Ltd, an Aventor Partner, Via Fonte di Fauno 22, 1-00153 Rome, Italy.",2002
56,"Donawa and Associates Ltd, Via Fonte di Fauno 22, I-00153 Rome, Italy.",2001
