ID,Year
0,2008-11-28
1,2008-11-26
2,1993-07-01
3,2008-09-16
4,2008-07-18
5,2007-12-27
6,2007-04-07
7,2007-02-03
8,2007-02-03
9,2007-02-03
10,2007-02-03
11,2007-02-03
12,1997-01-01
13,2007-02-03
14,2007-02-03
15,2002-06-28
16,2007-02-03
17,2007-02-03
18,2007-02-03
19,2007-02-03
20,2006-11-10
21,2006-10-13
22,2006-06-21
23,2006-06-07
24,2006-05-06
25,2001-04-04
26,2006-04-06
27,2006-04-06
28,2006-02-17
29,2003-07-17
30,2006-01-25
31,2005-12-08
32,2005-11-19
33,2004-07-01
34,2004-04-29
35,2004-04-29
36,2004-08-25
37,2004-04-02
38,2002-06-20
39,2001-08-10
40,1998-12-16
41,1997-01-01
42,2003-05-08
43,2005-10-20
44,2005-10-20
45,2005-10-20
46,2005-10-18
47,2005-10-18
48,2005-06-22
49,2004-08-26
50,2004-08-12
51,2003-04-18
52,2003-01-22
53,2002-10-26
54,2002-05-28
55,2001-04-25
56,2001-04-25
57,2000-08-18
58,2000-08-01
59,2000-08-01
60,2000-05-02
61,2000-03-21
62,2005-10-20
63,2004-03-05
64,2004-02-26
65,2003-12-20
66,2003-05-31
67,2003-04-18
68,2003-01-22
69,2002-10-26
70,2002-06-18
71,2002-05-28
72,2001-09-08
73,2001-08-08
74,2001-04-25
75,2000-05-02
76,2000-03-21
77,2000-01-06
78,1999-10-28
79,1999-07-01
80,1999-05-27
81,1999-05-27
82,1998-08-05
83,1998-03-08
84,1997-10-04
85,1997-09-04
86,1997-06-06
87,1997-02-06
88,1996-11-03
89,1996-10-04
90,1996-09-04
91,1996-02-07
92,1995-11-04
93,1995-09-05
94,1995-05-08
95,1995-03-09
96,1990-12-10
97,2005-10-18
98,2005-10-18
99,2005-10-18
100,2003-08-27
101,2003-04-18
102,1999-07-01
103,2005-10-15
104,2005-09-27
105,2005-07-23
106,2005-06-22
107,2003-08-27
108,2002-03-30
109,2000-03-21
110,2005-05-18
111,2005-05-11
112,2005-05-07
113,2005-04-07
114,2005-04-01
115,2005-03-24
116,2005-03-22
117,2005-03-22
118,2005-03-15
119,2005-02-26
120,2005-02-19
121,2005-02-19
122,2004-08-12
123,2005-02-19
124,2005-02-03
125,2005-01-28
126,2005-01-22
127,2005-01-14
128,2005-01-08
129,2005-01-08
130,2003-07-16
131,2002-02-16
132,2000-03-14
133,1991-01-01
134,2004-12-31
135,2004-10-13
136,2004-12-21
137,2004-12-14
138,2004-12-08
139,2002-11-01
140,2001-03-29
141,2000-02-05
142,2004-12-08
143,2004-05-04
144,2004-05-04
145,2004-12-03
146,1998-05-23
147,2004-12-02
148,2001-04-17
149,2003-05-23
150,2003-07-30
151,2004-05-04
152,2004-06-25
153,2003-02-25
154,2004-11-30
155,2002-07-19
156,2004-11-30
157,2004-07-22
158,2004-11-27
159,2004-11-26
160,2004-11-26
161,2004-11-24
162,1987-12-01
163,2004-11-19
164,2004-11-16
165,2004-11-13
166,2004-01-20
167,2003-01-21
168,2003-01-21
169,2001-07-04
170,1998-02-26
171,1997-05-01
172,1995-03-01
173,2004-11-13
174,2004-11-10
175,2003-05-03
176,2002-06-28
177,2004-11-09
178,2004-11-05
179,2004-11-03
180,2004-11-03
181,2004-11-03
182,2004-10-30
183,2003-02-11
184,2004-10-30
185,2004-10-27
186,2004-10-27
187,2004-09-21
188,2002-04-05
189,2004-02-10
190,2001-02-17
191,2004-10-23
192,2004-10-20
193,2004-10-20
194,2003-10-14
195,2004-10-20
196,2004-10-16
197,1993-11-01
198,2004-10-12
199,2004-06-09
200,2004-10-09
201,2004-10-08
202,2004-10-08
203,2004-10-08
204,2004-10-08
205,2004-10-07
206,2004-10-07
207,2004-10-06
208,2004-10-06
209,2004-10-06
210,2004-10-02
211,2004-10-01
212,2004-09-30
213,2001-06-08
214,1999-10-08
215,2004-09-30
216,2004-09-29
217,2004-09-29
218,1995-12-09
219,2004-09-28
220,2004-09-25
221,1998-11-25
222,1998-02-11
223,2004-09-24
224,2004-09-24
225,2004-05-26
226,2004-09-24
227,2004-09-24
228,2004-01-10
229,2004-09-14
230,2004-07-02
231,2004-09-14
232,2004-09-14
233,2004-09-14
234,2003-08-15
235,2002-02-09
236,2003-04-18
237,2004-09-11
238,2004-09-10
239,2001-04-17
240,2000-02-05
241,1996-06-01
242,1991-09-16
243,2002-07-20
244,2004-09-07
245,2003-06-14
246,2002-10-26
247,2004-09-07
248,2004-09-07
249,2004-09-07
250,2004-09-07
251,2004-09-07
252,2000-01-06
253,2004-09-07
254,2004-09-07
255,2002-03-30
256,2003-04-24
257,2004-08-31
258,2004-03-30
259,2004-08-26
260,2004-01-15
261,2004-08-26
262,2004-08-26
263,2003-06-24
264,2003-04-02
265,2004-08-26
266,2004-08-26
267,2004-08-26
268,2004-08-26
269,2004-08-24
270,2004-08-24
271,2004-08-21
272,2004-08-21
273,2004-08-19
274,2004-08-19
275,2004-08-17
276,1997-07-01
277,1995-07-01
278,1995-07-01
279,2004-08-13
280,2004-08-12
281,2002-06-18
282,2004-08-12
283,2004-08-11
284,2000-12-08
285,2004-08-05
286,2004-08-04
287,2004-08-04
288,2004-08-03
289,2004-08-03
290,2004-08-03
291,2004-08-03
292,2004-07-27
293,2004-07-24
294,2004-07-23
295,1997-04-01
296,2004-07-22
297,2004-07-21
298,2003-10-29
299,2004-07-17
300,2004-07-16
301,2004-07-15
302,2004-07-13
303,2004-07-10
304,2004-07-10
305,2004-07-09
306,2004-07-03
307,2004-07-01
308,2004-07-01
309,2004-07-01
310,2003-03-29
311,2002-12-10
312,2002-09-25
313,2002-04-12
314,2001-09-22
315,2001-02-13
316,2000-02-29
317,1999-10-08
318,1999-09-02
319,1999-01-05
320,2001-04-25
321,2004-07-01
322,2004-06-25
323,2004-06-25
324,2004-06-17
325,2004-06-16
326,2004-06-16
327,2004-06-15
328,2002-01-05
329,2004-06-15
330,2004-06-15
331,2004-06-12
332,2004-06-10
333,2004-06-10
334,2004-06-10
335,2004-06-05
336,2004-06-04
337,2004-06-03
338,2004-05-29
339,2004-05-29
340,2004-05-25
341,2004-05-22
342,2004-05-22
343,2004-05-22
344,2004-05-19
345,2004-05-15
346,2004-05-15
347,1999-11-11
348,2004-05-15
349,2004-05-12
350,2004-05-08
351,2004-05-06
352,1988-04-01
353,2004-05-04
354,2004-05-01
355,2004-05-01
356,2004-04-30
357,2004-04-28
358,2002-12-04
359,2002-04-20
360,2001-09-29
361,1998-12-31
362,1998-10-06
363,1998-06-13
364,2004-04-28
365,2002-12-04
366,2002-10-03
367,2004-04-28
368,1999-04-30
369,2004-04-28
370,2004-04-28
371,2004-04-28
372,2000-12-02
373,2000-08-01
374,2004-04-28
375,1999-06-05
376,2004-04-28
377,2004-04-28
378,2004-04-27
379,2004-04-20
380,2004-04-20
381,1995-06-01
382,2004-04-16
383,2004-04-14
384,1995-09-01
385,2004-04-09
386,2004-04-09
387,2004-04-07
388,2002-01-05
389,2004-04-06
390,2004-04-06
391,2004-04-06
392,2004-04-06
393,2004-04-02
394,2001-12-18
395,2004-04-02
396,1999-10-09
397,2004-04-01
398,2004-04-01
399,2004-03-30
400,2004-03-30
401,2003-03-12
402,2004-03-25
403,2004-03-17
404,2004-03-17
405,1997-06-15
406,2004-03-12
407,2004-03-12
408,2004-03-11
409,2004-03-09
410,1998-08-29
411,1998-08-29
412,2004-03-05
413,2004-03-05
414,2004-03-05
415,2004-03-05
416,2004-02-26
417,2004-02-26
418,2004-02-26
419,2004-02-26
420,2004-02-20
421,2004-02-19
422,2003-05-27
423,2004-02-06
424,2004-02-05
425,2003-07-16
426,2004-02-03
427,2004-01-27
428,2004-01-27
429,2004-01-27
430,2004-01-22
431,2004-01-22
432,2004-01-20
433,2004-01-13
434,2004-01-13
435,2004-01-08
436,2004-01-08
437,2004-01-02
438,2004-01-02
439,2004-01-01
440,2004-01-01
441,2003-12-31
442,2003-12-25
443,2003-12-23
444,2003-12-20
445,2002-07-16
446,2000-01-06
447,1999-07-01
448,1999-05-27
449,1998-09-04
450,1998-08-05
451,1998-06-06
452,1998-04-07
453,1998-03-08
454,1997-12-08
455,1997-11-03
456,1997-09-04
457,1997-08-05
458,1997-06-06
459,1997-04-07
460,1997-02-06
461,1996-09-04
462,1996-08-05
463,1996-04-07
464,1996-03-08
465,1996-02-07
466,1995-12-09
467,1995-10-05
468,1995-09-05
469,1995-03-09
470,1994-12-09
471,1994-04-08
472,2003-12-18
473,2003-12-13
474,2000-11-15
475,2003-12-13
476,2001-05-31
477,2003-12-11
478,2003-12-11
479,2003-12-10
480,2003-12-10
481,2003-12-10
482,2003-12-10
483,2003-12-10
484,2003-12-10
485,2003-12-09
486,2003-11-25
487,2003-11-19
488,2003-11-19
489,2003-11-19
490,2003-11-19
491,2003-11-15
492,2003-11-13
493,2003-11-13
494,2003-11-06
495,2003-05-31
496,1995-12-09
497,2003-11-05
498,2003-11-05
499,2003-11-01
500,2003-10-30
501,1995-01-01
502,2003-10-29
503,2003-10-11
504,2003-10-10
505,2002-08-16
506,2003-10-08
507,2003-10-08
508,2003-10-08
509,2002-03-30
510,2003-10-08
511,2003-10-02
512,2003-09-17
513,2003-09-13
514,2003-09-11
515,2003-09-10
516,2003-09-06
517,2003-08-27
518,2003-08-27
519,2003-08-27
520,1996-03-01
521,2003-08-22
522,2003-08-19
523,2003-08-19
524,2000-05-19
525,2003-08-19
526,2003-08-16
527,2003-08-15
528,2003-08-14
529,2003-08-09
530,2003-08-07
531,2003-08-02
532,2003-07-26
533,1999-03-31
534,2003-07-25
535,2002-03-26
536,2001-08-23
537,2002-09-13
538,1996-05-06
539,2002-01-05
540,2002-02-08
541,2003-07-16
542,2003-07-15
543,2003-07-11
544,2003-07-11
545,2003-07-11
546,2003-07-11
547,2003-07-10
548,2003-07-05
549,2003-07-05
550,2003-07-02
551,2003-06-28
552,2003-06-26
553,2003-06-19
554,2003-06-17
555,2003-06-17
556,2003-06-17
557,2003-06-17
558,2003-06-17
559,1994-03-01
560,2001-06-09
561,2003-06-07
562,2003-06-07
563,2003-06-07
564,1999-07-01
565,2003-05-31
566,2003-05-31
567,2003-05-30
568,2003-05-27
569,2003-05-23
