Year,TotalU.S.Expenditures_Cg110_MillionDollars,ExpendituresByTheFederalGovernment_Cg111_MillionDollars,ExpendituresByIndustry_Total_Cg112_MillionDollars,FederalGovernmentFunds_Cg113_MillionDollars,ExpendituresByIndustry_IndustryFunds_Cg114_MillionDollars,ExpendituresByIndustryFFRDCs_Cg115_MillionDollars,Total_Cg116_MillionDollars,FederalGovernmentFunds_Cg117_MillionDollars,NonfederalGovernmentFunds_Cg118_MillionDollars,IndustryFunds_Cg119_MillionDollars,UniversityAndCollegeFunds_Cg120_MillionDollars,NonprofitFunds_Cg121_MillionDollars,ExpendituresByUniversityAndCollegeFFRDCs_Cg122_MillionDollars,ExpendituresByNonprofitInstitutions_Total_Cg123_MillionDollars,FederalGovernmentFunds_Cg124_MillionDollars,IndustryFunds_Cg125_MillionDollars,NonprofitFunds_Cg126_MillionDollars,ExpendituresByNonprofitFFRDCs_Cg127_MillionDollars,BasicResearch_TotalU.S.Expenditures_Cg128_MillionDollars,ExpendituresByTheFederalGovernment_Cg129_MillionDollars,BasicResearch_ExpendituresByIndustry_Total_Cg130_MillionDollars,FederalGovernmentFunds_Cg131_MillionDollars,ExpendituresByIndustry_IndustryFunds_Cg132_MillionDollars,BasicResearch_ExpendituresByIndustryFFRDCs_Cg133_MillionDollars,Total_Cg134_MillionDollars,FederalGovernmentFunds_Cg135_MillionDollars,NonfederalGovernmentFunds_Cg136_MillionDollars,IndustryFunds_Cg137_MillionDollars,UniversityAndCollegeFunds_Cg138_MillionDollars,NonprofitFunds_Cg139_MillionDollars,ExpendituresByUniversityAndCollegeFFRDCs_Cg140_MillionDollars,ExpendituresByNonprofitInstitutions_Total_Cg141_MillionDollars,FederalGovernmentFunds_Cg142_MillionDollars,IndustryFunds_Cg143_MillionDollars,NonprofitFunds_Cg144_MillionDollars,BasicResearch_ExpendituresByNonprofitFFRDCs_Cg145_MillionDollars,AppliedResearch_TotalU.S.Expenditures_Cg146_MillionDollars,ExpendituresByTheFederalGovernment_Cg147_MillionDollars,ExpendituresByIndustry_Total_Cg148_MillionDollars,FederalGovernmentFunds_Cg149_MillionDollars,ExpendituresByIndustry_IndustryFunds_Cg150_MillionDollars,ExpendituresByIndustryFFRDCs_Cg151_MillionDollars,Total_Cg152_MillionDollars,FederalGovernmentFunds_Cg153_MillionDollars,NonfederalGovernmentFunds_Cg154_MillionDollars,IndustryFunds_Cg155_MillionDollars,UniversityAndCollegeFunds_Cg156_MillionDollars,NonprofitFunds_Cg157_MillionDollars,ExpendituresByUniversityAndCollegeFFRDCs_Cg158_MillionDollars,ExpendituresByNonprofitInstitutions_Total_Cg159_MillionDollars,FederalGovernmentFunds_Cg160_MillionDollars,IndustryFunds_Cg161_MillionDollars,NonprofitFunds_Cg162_MillionDollars,ExpendituresByNonprofitFFRDCs_Cg163_MillionDollars,Development_TotalU.S.Expenditures_Cg164_MillionDollars,ExpendituresByTheFederalGovernment_Cg165_MillionDollars,Development_ExpendituresByIndustry_Total_Cg166_MillionDollars,FederalGovernmentFunds_Cg167_MillionDollars,ExpendituresByIndustry_IndustryFunds_Cg168_MillionDollars,Development_ExpendituresByIndustryFFRDCs_Cg169_MillionDollars,Total_Cg170_MillionDollars,FederalGovernmentFunds_Cg171_MillionDollars,NonfederalGovernmentFunds_Cg172_MillionDollars,IndustryFunds_Cg173_MillionDollars,UniversityAndCollegeFunds_Cg174_MillionDollars,NonprofitFunds_Cg175_MillionDollars,ExpendituresByUniversityAndCollegeFFRDCs_Cg176_MillionDollars,ExpendituresByNonprofitInstitutions_Total_Cg177_MillionDollars,FederalGovernmentFunds_Cg178_MillionDollars,IndustryFunds_Cg179_MillionDollars,NonprofitFunds_Cg180_MillionDollars,Development_ExpendituresByNonprofitFFRDCs_Cg181_MillionDollars
1953,5160,1015,3630,1430,2200,,273,149,40,21,37,27,131,112,58,26,28,,460,102,151,19,132,,123,82,7,13,6,16,36,48,27,9,12,,1289,347,726,288,438,,134,59,30,7,28,10,48,35,14,11,10,,3412,567,2753,1123,1630,,16,9,3,1,3,1,48,29,17,6,6,
1954,5621,963,4070,1750,2320,,301,165,45,24,40,29,161,127,65,31,31,,509,96,166,23,143,,148,97,10,15,8,18,44,55,31,11,13,,1378,330,814,322,492,,137,60,32,8,28,10,58,40,16,13,11,,3734,537,3090,1405,1685,,17,9,3,1,3,1,59,32,18,7,7,
1955,6281,973,4517,2057,2460,123,342,191,50,27,42,32,187,131,64,35,32,9,579,98,189,27,162,,180,117,14,17,12,21,50,63,36,13,14,,1514,333,928,368,560,,142,63,32,9,27,11,68,43,18,14,11,,4189,543,3523,1785,1738,,21,12,4,2,3,1,69,34,19,8,7,
1956,8500,1130,6272,2995,3277,333,391,221,57,32,46,36,217,146,71,37,38,11,718,114,253,37,216,,220,143,19,20,15,24,58,74,42,15,17,,1928,387,1268,474,794,,146,65,33,10,27,11,79,49,21,14,14,,5855,631,5084,2817,2267,,25,14,4,2,4,2,81,35,20,8,7,
1957,9908,1297,7324,3928,3396,407,433,242,64,37,51,40,267,167,79,37,51,14,814,124,271,41,230,,261,167,25,23,20,27,72,87,49,15,23,,2414,446,1670,678,992,,147,63,34,12,27,11,94,58,24,14,20,,6681,728,5790,3616,2174,,26,12,5,3,4,2,101,37,21,8,8,
1958,10915,1507,8066,4436,3630,323,491,280,72,39,56,45,316,195,95,38,62,18,944,149,295,43,252,,312,202,31,24,24,31,85,103,59,16,28,,2758,516,1911,774,1137,,152,66,35,12,27,12,111,69,30,14,25,,7214,842,6183,3942,2241,,28,13,6,3,4,2,120,42,25,8,9,
1959,12490,1681,9200,5217,3983,418,586,356,81,40,61,50,349,234,125,42,67,22,1087,165,320,72,248,,388,263,38,24,28,36,95,120,72,18,30,,2940,577,1991,813,1178,,167,78,37,13,28,12,121,85,43,15,27,,8463,940,7307,4750,2557,,31,16,6,3,5,2,134,51,32,9,10,
1960,13711,1801,10032,5604,4428,477,705,453,90,40,67,55,385,264,148,48,68,48,1286,184,376,79,297,,485,341,45,25,33,41,106,136,85,21,30,,3065,615,2029,833,1196,,186,93,39,13,29,12,129,108,63,17,28,,9360,1003,8104,5169,2935,,35,19,6,3,5,2,151,69,49,10,10,
1961,14564,1987,10353,5685,4668,555,834,557,101,40,75,62,440,304,169,49,86,92,1512,230,395,81,314,,598,432,54,25,40,48,126,164,105,22,37,,3123,668,1977,812,1165,,199,104,40,13,30,13,145,135,83,17,35,,9930,1090,8536,5347,3189,,38,22,7,2,5,2,170,97,73,10,14,
1962,15636,2188,11037,6008,5029,426,993,687,112,41,84,70,500,363,200,54,109,130,1824,252,488,143,345,,737,546,64,25,48,55,148,200,130,24,46,,3698,709,2449,1011,1438,,216,119,41,14,30,13,163,162,98,19,45,,10116,1227,8527,5281,3246,,40,23,8,2,6,2,190,132,103,11,18,
1963,17519,2558,12216,6856,5360,414,1178,839,125,41,96,78,580,408,234,55,119,165,2115,285,522,147,375,,909,689,75,25,58,63,175,225,150,25,50,,3865,809,2457,1007,1450,,230,128,42,14,32,14,186,183,115,19,49,,11540,1465,9651,6116,3535,,40,22,8,2,6,2,219,165,134,11,20,
1964,19103,2965,13049,7257,5792,463,1375,995,138,41,114,88,629,417,250,55,112,205,2396,339,507,123,384,42,1071,824,84,25,70,68,200,238,166,25,47,,4201,947,2538,978,1560,62,256,142,45,14,37,18,203,196,130,19,47,,12506,1680,10004,6156,3848,359,49,30,8,2,7,3,227,188,159,11,18,
